geneid	chr	s1	s2	strand
DDX11L1	chr1	11869	14412	1
WASH7P	chr1	14363	29806	-1
MIR1302-10	chr1	29554	31109	1
FAM138A	chr1	34554	36081	-1
OR4G4P	chr1	52473	54936	1
OR4G11P	chr1	62948	63887	1
OR4F5	chr1	69091	70008	1
RP11-34P13.7	chr1	89295	133566	-1
RP11-34P13.8	chr1	89551	91105	-1
CICP27	chr1	131025	134836	1
AL627309.1	chr1	134901	139379	-1
RP11-34P13.15	chr1	135141	135895	-1
RP11-34P13.16	chr1	137682	137965	-1
RP11-34P13.14	chr1	139790	140339	-1
RP11-34P13.13	chr1	141474	173862	-1
RNU6-1100P	chr1	157784	157887	-1
RP11-34P13.9	chr1	160446	161525	1
AP006222.2	chr1	227615	267253	-1
AP006222.1	chr1	228292	228775	-1
RP4-669L17.10	chr1	317720	453948	1
RP4-669L17.8	chr1	326096	328112	1
CICP7	chr1	329431	332236	-1
RP4-669L17.4	chr1	334126	334305	1
OR4F29	chr1	367640	368634	1
WBP1LP7	chr1	379105	379467	-1
AL732372.1	chr1	450820	450910	-1
RP4-669L17.2	chr1	453633	460480	-1
RP5-857K21.15	chr1	459656	461954	1
RP4-669L17.1	chr1	470971	471355	1
RP5-857K21.1	chr1	521369	523833	-1
RP5-857K21.2	chr1	523009	530148	1
RP5-857K21.3	chr1	529833	532878	-1
RP5-857K21.4	chr1	536816	659930	-1
RP5-857K21.5	chr1	562757	564390	-1
MTND1P23	chr1	564442	564813	1
MTND2P28	chr1	565020	566063	1
hsa-mir-6723	chr1	566454	567996	1
RP5-857K21.7	chr1	568137	568818	1
MTATP8P1	chr1	568915	569121	1
MTATP6P1	chr1	569076	569756	1
RP5-857K21.11	chr1	569756	570302	1
WBP1LP6	chr1	610222	610645	1
OR4F16	chr1	621059	622053	-1
CICP3	chr1	657472	660283	1
RP11-206L10.1	chr1	661611	663527	-1
RP11-206L10.3	chr1	677193	685396	-1
RNU6-1199P	chr1	693613	693716	-1
RP11-206L10.5	chr1	694412	700305	-1
RP11-206L10.4	chr1	696291	697369	1
RP11-206L10.2	chr1	700237	714006	-1
RP11-206L10.9	chr1	714150	745440	1
RP11-206L10.8	chr1	736259	745541	-1
AL669831.1	chr1	738532	739137	-1
RP11-206L10.10	chr1	745489	753092	-1
FAM87B	chr1	752751	755214	1
LINC00115	chr1	761586	762902	-1
LINC01128	chr1	762988	794826	1
FAM41C	chr1	803451	812283	-1
TUBB8P11	chr1	808672	809729	1
AL645608.2	chr1	818043	819983	1
RP11-54O7.16	chr1	840214	851356	1
RP11-54O7.1	chr1	846815	850328	1
RP11-54O7.2	chr1	849551	850351	1
RP11-54O7.3	chr1	852245	856396	-1
SAMD11	chr1	860260	879955	1
